Chord,Twist,Hinge x/c,Hinge y/c,Hinge r/c
100.0,0.0,0.65,0.0,0.0275
79.0,0.0,0.65,0.0,0.0275
59.5,0.0,0.65,0.0,0.0275
40.0,0.0,0.65,0.0,0.0275
