0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLF(1)-0215F, ,NACA2212, ,NACA0009, ,NACA2414, ,EpplerE1212, ,Eppler1098, ,Clark-Y, ,NACA64(1)-212ModA,,NACA63-210,,Eppler1200,,Eppler1233,,NACA0012,,Eppler1210,,naca1410,
ac,,ac,,ac,,ac,,ac,,ac,,ac,,ac,,ac,,ac,,ac,,ac,,ac,,ac,
x,z,x,z,x,z,x,z,x,z,x,z,x,z,x,z,x,z,x,z,x,z,x,z,x,z,x,z
0.37702,0.11428,0.579155,0.065609,0.25,0.04466,0.34454,0.08913,0.31804,0.1157,0.365646,0.126819,0.25,0.08996,0.116415,0.069685,0.09882,0.03877,0.36109,0.118142,0.68594,0.0864,0.025,-0.02453,0.333305,0.126516,0.01326,-0.01515
0.33237,0.1124,0.540008,0.06922,0.22221,0.04397,0.29482,0.08866,0.27463,0.11756,0.321567,0.123671,0.22221,0.08774,0.091759,0.064677,0.07382,0.03372,0.315629,0.116165,0.65582,0.09262,0.05,-0.03267,0.289946,0.128738,0.02602,-0.02055
0.28894,0.10887,0.500588,0.072381,0.19562,0.04295,0.2474,0.08645,0.23389,0.11735,0.278785,0.118911,0.19562,0.08483,0.061742,0.058177,0.04886,0.02753,0.271807,0.112817,0.62525,0.0987,0.075,-0.03813,0.249105,0.12886,0.0513,-0.02726
0.2472,0.10389,0.461143,0.075034,0.17033,0.04161,0.20285,0.08255,0.19609,0.11495,0.237767,0.112673,0.17033,0.08113,0.048649,0.051537,0.02398,0.01939,0.230115,0.108179,0.59437,0.10458,0.1,-0.0424,0.211045,0.126732,0.07642,-0.03157
0.20758,0.09761,0.421921,0.077122,0.14645,0.03994,0.16169,0.07707,0.16137,0.11031,0.19896,0.105101,0.14645,0.0766,0.038747,0.047335,0.01162,0.01379,0.191013,0.10231,0.56332,0.1102,0.15,-0.04867,0.175905,0.122254,0.10146,-0.03462
0.1705,0.09019,0.383032,0.078574,0.12408,0.03795,0.1244,0.07014,0.12989,0.10351,0.162798,0.096313,0.12408,0.07134,0.02881,0.041432,0.00669,0.01107,0.15499,0.09524,0.53226,0.11548,0.2,-0.05293,0.143774,0.115506,0.15139,-0.03844
0.13635,0.08175,0.34468,0.079198,0.10332,0.03564,0.09141,0.06198,0.10175,0.09455,0.129634,0.086404,0.10332,0.06552,0.018868,0.03523,0.0043,0.00876,0.122367,0.086929,0.50132,0.12036,0.3,-0.05827,0.114754,0.106548,0.2012,-0.04031
0.10546,0.07247,0.307289,0.078941,0.08427,0.03305,0.0631,0.05281,0.07682,0.0836,0.099713,0.075531,0.08427,0.05939,0.013885,0.031529,0,0,0.093364,0.077407,0.47063,0.12477,0.4,-0.06,0.088753,0.095569,0.25093,-0.04091
0.07816,0.0625,0.271106,0.077802,0.06699,0.03023,0.03977,0.04289,0.05506,0.07116,0.073279,0.063968,0.06699,0.05313,0.008871,0.026328,0.0057,-0.00776,0.06811,0.066824,0.44032,0.12864,0.5,-0.05827,0.065763,0.08305,0.30063,-0.04064
0.05469,0.05201,0.236371,0.075794,0.05156,0.0272,0.02165,0.03245,0.03668,0.05773,0.050645,0.051977,0.05156,0.04677,0.004836,0.020907,0.00831,-0.00967,0.046736,0.055379,0.4105,0.13192,0.6,-0.0532,0.045982,0.069471,0.4,-0.03936
0.03527,0.0412,0.203313,0.072947,0.03806,0.02395,0.00892,0.02171,0.02185,0.04371,0.032033,0.039747,0.03806,0.04027,0.001752,0.013968,0.01338,-0.01165,0.029323,0.043334,0.38129,0.13454,0.7,-0.0448,0.029601,0.055182,0.49975,-0.03439
0.02004,0.03027,0.172151,0.069309,0.02653,0.02039,0.00169,0.01085,0.01072,0.02949,0.017528,0.027548,0.02653,0.03352,0,0,0.02602,-0.01567,0.015929,0.031008,0.35278,0.13644,0.8,-0.0332,0.01674,0.040583,0.59958,-0.02914
0.00909,0.01947,0.143088,0.064941,0.01704,0.01646,0,0,0.00342,0.01552,0.007199,0.015854,0.01704,0.02652,0.001336,-0.006828,0.05114,-0.02121,0.006585,0.01881,0.32509,0.13757,0.9,-0.01867,0.007509,0.026053,0.69949,-0.02304
0.0024,0.00917,0.116313,0.059918,0.00961,0.01214,0.00379,-0.01031,0.0001,0.00239,0.001273,0.00529,0.00961,0.01943,0.004194,-0.011186,0.07618,-0.02524,0.001322,0.007261,0.2983,0.13787,0.95,-0.01027,0.001919,0.012073,0.79951,-0.01629
0,0,0.091996,0.054325,0.00428,0.00767,0.01293,-0.01956,0,0,0,0,0.00428,0.01254,0.008052,-0.014664,0.10118,-0.02843,0.0,0.0,0.27246,0.13727,1.0,0.0,0.0,0.0,0.89966,-0.00901
0.00245,-0.00704,0.070289,0.048257,0.00107,0.00349,0.0273,-0.0277,0.00152,-0.00892,0.000475,-0.002978,0.00107,0.00616,0.012909,-0.017262,0.1511,-0.03319,0.004952,-0.010675,0.24761,0.13575,1,0,0.002447,-0.011047,0.94979,-0.00512
0.01099,-0.01211,0.051324,0.041808,0,0,0.04669,-0.03471,0.00858,-0.01911,0.006281,-0.009886,0,0,0.022683,-0.019458,0.20098,-0.03648,0.004997,-0.01072,0.22379,0.13328,1,0,0.010257,-0.019477,1.0,0.0
0.02592,-0.01656,0.035214,0.035076,0.00107,-0.00349,0.07087,-0.04054,0.02081,-0.02927,0.018682,-0.017082,0.00107,-0.00453,0.032482,-0.020454,0.25083,-0.03857,0.016125,-0.017773,0.20102,0.12985,1,0,0.023237,-0.026898,1,0
0.04653,-0.02052,0.022051,0.028152,0.00428,-0.00767,0.09957,-0.04516,0.03738,-0.03884,0.03645,-0.024311,0.00428,-0.00898,0.057002,-0.021744,0.30067,-0.03966,0.032714,-0.024388,0.17929,0.12549,1,0,0.040836,-0.032649,1,0
0.07242,-0.02399,0.011907,0.02112,0.00961,-0.01214,0.13246,-0.04858,0.058,-0.04733,0.059157,-0.031348,0.00961,-0.01296,0.096236,-0.02373,0.35049,-0.0397,0.054432,-0.030384,0.15863,0.12025,1,0,0.063196,-0.03634,1,0
0.10324,-0.02699,0.004833,0.014049,0.01704,-0.01646,0.16918,-0.05082,0.0825,-0.05429,0.086427,-0.038025,0.01704,-0.01651,0.13547,-0.025715,0.40032,-0.03867,0.081021,-0.035652,0.13904,0.11418,1,0,0.090536,-0.037761,1,0
0.13854,-0.02954,0.00086,0.006997,0.02653,-0.02039,0.20937,-0.05195,0.11083,-0.05933,0.117877,-0.044193,0.02653,-0.01959,0.174705,-0.0276,0.45015,-0.03671,0.112201,-0.040131,0.12053,0.10736,1,0,0.123256,-0.037143,1,0
0.17788,-0.03166,0,0,0.03806,-0.02395,0.2526,-0.05208,0.14296,-0.06215,0.1531,-0.049712,0.03806,-0.02214,0.213937,-0.029685,0.5,-0.03393,0.147661,-0.043841,0.10312,0.09991,1,0,0.161276,-0.035155,1,0
0.22073,-0.03334,0.002223,-0.006689,0.05156,-0.0272,0.29844,-0.05133,0.1791,-0.06247,0.191655,-0.05445,0.05156,-0.02414,0.253167,-0.03187,0.54987,-0.03045,0.186991,-0.046822,0.08688,0.09195,1,0,0.204037,-0.032287,1,0
0.26654,-0.03456,0.007479,-0.012828,0.06699,-0.03023,0.34644,-0.04987,0.21963,-0.06055,0.233073,-0.058266,0.06699,-0.02567,0.312791,-0.034973,0.58976,-0.02644,0.229681,-0.049084,0.07186,0.08357,1,0,0.250937,-0.02881,1,0
0.31473,-0.03531,0.015723,-0.018404,0.08427,-0.03305,0.39611,-0.04787,0.26443,-0.05712,0.276852,-0.061021,0.08427,-0.0268,0.361651,-0.03672,0.64968,-0.02204,0.275191,-0.050597,0.05814,0.07486,1,0,0.301337,-0.024973,1,0
0.36468,-0.03554,0.026892,-0.023408,0.10332,-0.03564,0.44739,-0.04537,0.31285,-0.05273,0.322465,-0.062537,0.10332,-0.02763,0.410535,-0.037318,0.69964,-0.0174,0.322962,-0.051331,0.04576,0.06589,1,0,0.354548,-0.020955,1,0
0.41576,-0.03519,0.040906,-0.027826,0.12408,-0.03795,0.49931,-0.04232,0.36422,-0.0477,0.369356,-0.062616,0.12408,-0.02816,0.459442,-0.036226,0.74962,-0.01271,0.372403,-0.051214,0.03478,0.05676,1,0,0.409868,-0.016958,1,0
0.46731,-0.03415,0.057669,-0.031651,0.14645,-0.03994,0.55129,-0.03886,0.41785,-0.04229,0.416927,-0.060788,0.14645,-0.02839,0.508403,-0.033945,0.79964,-0.00822,0.422904,-0.050179,0.02524,0.04757,1,0,0.466538,-0.013091,1,0
0.51867,-0.03225,0.077071,-0.034878,0.17033,-0.04161,0.60276,-0.03516,0.47299,-0.03672,0.465236,-0.056284,0.17033,-0.02832,0.557402,-0.030764,0.8497,-0.00415,0.473836,-0.048013,0.01717,0.03839,1,0,0.523818,-0.009505,1,0
0.5692,-0.02925,0.098987,-0.037507,0.19562,-0.04295,0.65316,-0.03132,0.52889,-0.0312,0.515095,-0.04922,0.19562,-0.02795,0.606443,-0.026904,0.89979,-0.00087,0.524828,-0.044397,0.01061,0.02934,1,0,0.580929,-0.006288,1,0
0.61825,-0.02441,0.123281,-0.039546,0.22221,-0.04397,0.70194,-0.02745,0.5848,-0.02587,0.566635,-0.040737,0.22221,-0.02734,0.655524,-0.022555,0.9499,0.0012,0.57572,-0.039241,0.00296,0.01331,1,0,0.637099,-0.003501,1,0
0.66662,-0.01663,0.149805,-0.041013,0.25,-0.04466,0.74857,-0.02365,0.63994,-0.02089,0.619172,-0.031789,0.25,-0.02653,0.70465,-0.017877,1,0,0.626453,-0.032595,0.00066,0.00581,1,0,0.691589,-0.001223,1,0
0.71614,-0.00705,0.178401,-0.041934,0.27886,-0.04504,0.79252,-0.01998,0.69355,-0.01635,0.671897,-0.023027,0.27886,-0.02559,0.753818,-0.013079,1,0,0.677106,-0.02493,2e-05,-0.00103,1,0,0.74364,0.000524,1,0
0.76645,0.00167,0.208902,-0.042346,0.30866,-0.04509,0.83331,-0.0165,0.74489,-0.01234,0.723906,-0.01501,0.30866,-0.02458,0.803024,-0.008392,1,0,0.72732,-0.017204,0.00126,-0.00675,1,0,0.79254,0.001741,1,0
0.81565,0.00804,0.241131,-0.042294,0.33928,-0.04484,0.87048,-0.01328,0.79324,-0.00892,0.77422,-0.008168,0.33928,-0.02351,0.852269,-0.004126,1,0,0.776203,-0.010187,0.00507,-0.01165,1,0,0.83762,0.002449,1,0
0.86198,0.01155,0.274904,-0.041834,0.37059,-0.04431,0.9036,-0.01035,0.83789,-0.00611,0.821813,-0.002802,0.37059,-0.02242,0.901537,-0.000721,1,0,0.822755,-0.00436,0.01154,-0.01641,1,0,0.87822,0.002677,1,0
0.90359,0.01198,0.310028,-0.041027,0.43474,-0.04248,0.9323,-0.00776,0.8782,-0.00392,0.865649,0.000932,0.43474,-0.02018,0.950806,0.001264,1,0,0.865947,-7.2e-05,0.02015,-0.02102,1,0,0.91376,0.002515,1,0
0.93862,0.0099,0.346303,-0.039941,0.5,-0.03978,0.95626,-0.00557,0.91355,-0.00231,0.904717,0.003032,0.5,-0.01792,1,0,1,0,0.904709,0.002557,0.03077,-0.02538,1,0,0.94371,0.002073,1,0
0.96588,0.00655,0.383522,-0.038644,0.56526,-0.03638,0.97518,-0.00381,0.9434,-0.00118,0.93808,0.003635,0.56526,-0.01566,1,0,1,0,0.93804,0.003537,0.04334,-0.02937,1,0,0.96767,0.001532,1,0
0.98504,0.00323,0.421644,-0.037174,0.62941,-0.03247,0.98886,-0.00252,0.96735,-0.00038,0.964861,0.00304,0.62941,-0.01345,1,0,1,0,0.9649,0.00309,0.05789,-0.03294,1,0,0.98534,0.000921,1,0
0.9963,0.00086,0.460397,-0.035444,0.69134,-0.02823,0.99713,-0.00173,0.98512,6.00E-05,0.984332,0.001773,0.69134,-0.01131,1,0,1,0,0.9844,0.001804,0.07441,-0.03613,1,0,0.99628,0.0003,1,0
1,0,0.499412,-0.033493,0.75,-0.02384,1,0,0.99621,8.00E-05,0.996083,0.000528,0.75,-0.00928,1,0,1,0,0.99611,0.000531,0.09284,-0.03898,1,0,1.0,0.0,1,0
1,0,0.538451,-0.031373,0.80438,-0.01945,1,0,1,0,1,0,0.80438,-0.00741,1,0,1,0,1.0,0.0,0.11309,-0.04152,1,0,1,0,1,0
1,0,0.577279,-0.029138,0.85355,-0.01522,1,0,1,0,1,0,0.85355,-0.00575,1,0,1,0,1,0,0.13505,-0.04378,1,0,1,0,1,0
1,0,0.615658,-0.026833,0.89668,-0.01127,1,0,1,0,1,0,0.89668,-0.00429,1,0,1,0,1,0,0.1586,-0.04575,1,0,1,0,1,0
1,0,0.653352,-0.0245,0.93301,-0.0077,1,0,1,0,1,0,0.93301,-0.00302,1,0,1,0,1,0,0.18361,-0.04745,1,0,1,0,1,0
1,0,0.690129,-0.022172,0.96194,-0.00463,1,0,1,0,1,0,0.96194,-0.0019,1,0,1,0,1,0,0.20997,-0.04887,1,0,1,0,1,0
1,0,0.725762,-0.01988,0.98296,-0.00218,1,0,1,0,1,0,0.98296,-0.00094,1,0,1,0,1,0,0.23753,-0.05,1,0,1,0,1,0
1,0,0.760029,-0.017649,0.99572,-0.00057,1,0,1,0,1,0,0.99572,-0.00025,1,0,1,0,1,0,0.26617,-0.05084,1,0,1,0,1,0
1,0,0.792716,-0.015499,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.29574,-0.05139,1,0,1,0,1,0
1,0,0.823619,-0.013448,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.3261,-0.05162,1,0,1,0,1,0
1,0,0.852541,-0.01151,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.35711,-0.05153,1,0,1,0,1,0
1,0,0.879302,-0.009701,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.38861,-0.0511,1,0,1,0,1,0
1,0,0.90373,-0.008033,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.42045,-0.05031,1,0,1,0,1,0
1,0,0.925669,-0.00652,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.45249,-0.0491,1,0,1,0,1,0
1,0,0.944979,-0.005174,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.4846,-0.04739,1,0,1,0,1,0
1,0,0.961536,-0.004008,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.51674,-0.04516,1,0,1,0,1,0
1,0,0.975232,-0.003035,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.54884,-0.04239,1,0,1,0,1,0
1,0,0.985978,-0.002265,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.58083,-0.03912,1,0,1,0,1,0
1,0,0.993705,-0.001708,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.61264,-0.03537,1,0,1,0,1,0
1,0,0.998361,-0.00137,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.64419,-0.03116,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.67547,-0.02648,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.7066,-0.0215,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.73749,-0.01654,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.76791,-0.01186,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.79759,-0.00762,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.82626,-0.00395,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.85364,-0.00093,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.87944,0.00137,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.9034,0.00294,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.92524,0.0038,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.94468,0.00397,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.96144,0.00357,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.9753,0.00278,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.98612,0.00183,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.99384,0.00092,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.99846,0.00025,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1.0,0.0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
